EN,VN
Aromatic,Thơm
Astringent,Cay, hơi chát
Bitter,Đắng
Bland,Nhạt
Delectable,Ngon miệng
Delicate,Tinh tế, nhẹ nhàng
Distinctive,Đặc biệt, riêng biệt
Fiery,Rất cay
Flavorsome,Thơm ngon
Luscious,Ngon mê ly
Mild,Nhẹ nhàng, ít mùi
Pungent,Gắt mùi
Rich,Đậm đà
Salty,Mặn
Savory,Cay hoặc mặn
Sour,Chua
Spicy,Cay
Succulent,Ngon, mềm mọng
Sweet,Ngọt
