EN,VN
Baguette,Bánh mì Pháp
Borscht,Súp củ cải đỏ
Congee,Cháo
Croissants,Bánh sừng bò
Fried chicken,Gà rán
Fried rice,Cơm chiên
Girdle-cake,Bánh tráng
Hamburger,Bánh mì kẹp
Hotpot,Lẩu
Mooncake,Bánh trung thu
Porridge,Cháo đặc
Prawn crackers,Bánh phồng tôm
Rice,Cơm
Salad,Rau trộn
Soya cake,Bánh đậu
Steamed rice roll,Bánh cuốn
Sticky rice,Xôi
Vietnamese noodle soup,Phở
Young rice cake,Bánh cốm
