EN,VN
Ale,Bia tươi
Beer,Bia
Champagne,Rượu sâm banh
Cocktail,Cốc-tai
Cocoa,Ca cao
Coffee,Cà phê
Espresso,Cà phê đậm đặc
Hot chocolate,Sô cô la nóng
Iced tea,Trà đá
Juice,Nước ép trái cây
Lemonade,Nước chanh
Liquor,Rượu
Milkshake,Thức uống xay nhuyễn
Mineral water,Nước khoáng
Smoothie,Sinh tố
Soda,Nước uống có gas
Soft drink,Nước ngọt
Tea,Trà
Wine,Rượu
