EN,VN
Bear,Gấu
Cat,Mèo
Chimpanzee,Tinh tinh
Dog,Chó
Dolphin,Cá heo
Elephant,Voi
Fox,Cáo
Gibbon,Vượn
Giraffe,Hươu cao cổ
Horse,Ngựa
Jaguar,Báo đốm
Koala,Gấu túi
Leopard,Báo hoa mai
Lion,Sư tử
Orangutan,Đười ươi
Panda,Gấu trúc
Pig,Heo
Tiger,Hổ
Wolf,Sói
