EN,VN
Chick,Gà con
Chicken,Gà
Crow,Quạ
Dove,Bồ câu
Eagle,Đại bàng
Flamingo,Hồng hạc
Goose,Ngỗng
Hawk,Chim ưng
Owl,Cú mèo
Parrot,Con vẹt
Peacock,Con công
Penguin,Chim cánh cụt
Pigeon,Bồ câu
Raven,Quạ
Sparrow,Chim sẻ
Stork,Con cò
Swan,Thiên nga
Turkey,Gà tây
Woodpecker,Chim gõ kiến
