EN,VN
Living room, Phòng khách
Bedroom, Phòng ngủ
Kitchen, Nhà bếp
Bathroom, Phòng tắm
Dining room, Phòng ăn
Attic, Gác mái
Garage, Ga ra
Toilet, Nhà vệ sinh
Balcony, Ban công
Basement, Tầng hầm
Lounge, Phòng chờ
Shed, Nhà kho
Utility room, Phòng tiện ích
Sun lounge, Phòng sưởi nắng
Loft, Gác xép
Porch, Cổng vòm
Hall, Đại sảnh
Cellar, Hầm chứa
Lavatory, Phòng vệ sinh
